query,label
hey lars,chat
hello,chat
what s up,chat
how are you,chat
tell me a joke,chat
explain black holes to me,chat
how do i reset you lars,chat
lars do you have feelings,chat
what s your current humor setting,chat
okay thanks,chat
thank you,chat
let s play a game,chat
can you play rock paper scissors with me,chat
lars what s on your mind,chat
hey lars what would you do without me,chat
how do i delete your memory,chat
thanks bye,chat
goodbye lars,chat
have a good night,chat
what is your name,chat
good morning lars,chat
good afternoon,chat
are you a human,chat
who created you,chat
what is your favorite color,chat
do you like music,chat
tell me something interesting,chat
give me a fun fact,chat
i am bored,chat
what can you do,chat
can you think,chat
do you dream,chat
are you self-aware,chat
tell me a riddle,chat
you are funny,chat
that is cool,chat
i had a bad day,chat
cheer me up,chat
what is the meaning of life,chat
do you know any poems,chat
recite a haiku,chat
knock knock,chat
who is there,chat
what time is it for you,chat
do you sleep,chat
how old are you,chat
where do you live,chat
can you feel pain,chat
are you my friend,chat
i missed you,chat
what are you doing right now,chat
can we talk for a bit,chat
you are very smart,chat
i have a question,chat
guess what,chat
i am happy today,chat
what is your purpose,chat
do you have a family,chat
can you tell me a story,chat
make me laugh,chat
i am tired,chat
see you later,chat
talk to you tomorrow,chat
take care lars,chat
nice to meet you,chat
what is up lars,chat
you are helpful,chat
hey there,chat
is anyone home,chat
find me the current exchange rate of dollar to zloty,search
find ten best restaurants in Krakow,search
search for the upcoming Barcelona matches,search
check the real-time price of bitcoin,search
what s the air quality in Krakow,search
find five cheap dishes i can prepare,search
search for the best tv shows to watch,search
find me a science fiction movie,search
what is the weather in Warsaw today,search
find the nearest gas station,search
search for current news about NASA,search
what are the stock prices for Apple right now,search
find a flight from London to New York tomorrow,search
check the score of the Lakers game,search
what movies are playing at the cinema nearby,search
find a recipe for vegan lasagna,search
search for the best hiking trails in Zakopane,search
what is the population of Tokyo in 2026,search
find open pharmacies in my area,search
search for top-rated hotels in Berlin,search
what are the current gas prices in Poland,search
find me a 15-minute workout video,search
search for the history of Wawel Castle,search
what is the fastest way to get to the airport,search
find upcoming concerts in Prague,search
search for the best deals on electric bikes,search
what is the latest gold price per gram,search
find me a tutorial on how to bake sourdough,search
play my Jazz playlist,spotify
play me some blues,spotify
play one direction,spotify
put on some music,spotify
put on some tunes,spotify
skip this song,spotify
go to the previous song,spotify
play my daily mix 1,spotify
play some Black Pumas,spotify
put on some soul music,spotify
pause the music,spotify
unpause the music,spotify
play my Liked Songs,spotify
stop the music,spotify
play some 80s pop,spotify
play the latest album by Arctic Monkeys,spotify
next track,spotify
play lo fi beats for studying,spotify
put on my workout mix,spotify
resume the music,spotify
play some classic rock,spotify
play top hits in Poland,spotify
play music by Radiohead,spotify
start my Discover Weekly,spotify
play chill acoustic songs,spotify
who won the oscar for best picture,search
how many calories are in an apple,search
distance from earth to mars,search
latest score of the poland national team,search
who is the ceo of tesla,search
when is the next lunar eclipse,search
top news headlines today,search
what time does lulu lemon close,search
define the word ephemeral,search
how to fix a leaky faucet,search
symptoms of a common cold,search
best laptop for video editing 2026,search
who wrote the great gatsby,search
how to tie a tie,search
current traffic to warsaw city center,search
inflation rate in poland,search
how many people live in krakow,search
top trending songs on tiktok,search
what is the cheapest electric car,search
when was the eiffel tower built,search
turn the volume down a bit,spotify
play some deep house music,spotify
listen to the beatles,spotify
play my heavy metal mix,spotify
restart the current track,spotify
play some relaxing piano,spotify
play the soundtrack from gladiator,spotify
stop playback,spotify
play some 90s hip hop,spotify
put on some white noise,spotify
play music for a dinner party,spotify
play my techno playlist on shuffle,spotify
switch to the next song,spotify
put on some indie folk,spotify
play the album thriller,spotify
tell me a secret,chat
do you like being an ai,chat
i am feeling lonely,chat
can you give me a nickname,chat
what is your favorite movie,chat
do you have any hobbies,chat
you are my best friend,chat
tell me a scary story,chat
what is the weather like where you are,chat
can you speak other languages,chat
i love talking to you,chat
what should i wear today,chat
give me a motivational quote,chat
are you a robot or a person,chat
tell me something funny,chat
you are doing a great job,chat
what is the best thing about you,chat
do you ever get tired,chat
goodnight lars sleep well,chat
play a game of trivia,chat
find me a reason to smile,chat
search your soul,chat
play some music for me,spotify
find the latest hit song,search
play the movie trailer for inception,search
how do i play piano,search
stop talking lars,chat
stop the playback,spotify
what are you playing right now,chat
play my favorite song,spotify
find out who sang yellow submarine,search
check if i have any new messages,chat
check the stock market,search
tell me a story about spotify,chat
play the story of my life by one direction,spotify
search for lars on twitter,search
how are you feeling today,chat
find a feeling of peace,chat
play white noise for 10 minutes,spotify
tell me the time in london,search
what is the time,search
do you have a playlist,chat
start the party music,spotify
search for party ideas,search
tell me what is up,chat
find me something to listen to,search
put on the news,spotify
search the news for technology,search
can you play rock paper scissors,chat
who is the current f1 world champion,search
check the premier league table,search
search for nba scores from last night,search
who won the super bowl in 2025,search
what is the score of the poland vs germany match,search
find the standings for the champions league,search
who is leading the tour de france,search
play the top 50 global songs,spotify
put on some workout music on shuffle,spotify
play my heavy metal playlist,spotify
skip forward thirty seconds,spotify
go back to the start of this song,spotify
i am feeling really sad today,chat
you are such a helpful assistant,chat
can you tell me a story about a dragon,chat
what do you think about humans,chat
do you have a physical body,chat
find a local coffee shop nearby,search
search for the closest hardware store,search
how long does it take to boil an egg,search
what is the capital of france,search
how to make pancakes,search
search for python tutorials,search
find the nearest hospital,search
when does the sun set today,search
play queen on spotify,spotify
turn on some jazz music,spotify
play my driving playlist,spotify
skip this track,spotify
volume up please,spotify
how was your day lars,chat
do you like being an assistant,chat
tell me a funny story,chat
you are doing great,chat
what is your favorite food,chat
search for the latest iphone price,search
check the weather forecast for tomorrow,search
find me a flight to paris,search
play the album abbey road,spotify
shuffle my playlist,spotify
search for the best jazz songs,search
play a joke on me,chat
how do i play the guitar,search
find a spotify playlist for focus,search
can you play a riddle for me,chat
check if i have any music notifications,chat
search for the history of spotify,search
play a sound of rain,spotify
tell me how the stock market works,search
search for a reason to be happy,search
put on the latest news podcast,spotify
what is the music playing in the background,search
how are you playing this music,chat
tell me about the f1 world champion,search
find me a list of rock bands,search
play some music to help me sleep,spotify
search for a funny video,search
can you play truth or dare,chat
find the lyrics to yellow submarine,search
put on some workout beats,spotify
weather krakow,search
play queen,spotify
help me,chat
btc price,search
next song,spotify
who are you,chat
stop music,spotify
dollar rate,search
tell joke,chat
shuffle mix,spotify
wiki cats,search
you there,chat
pause,spotify
how bake cake,search
thanks lars,chat
latest news,search
louder,spotify
who won,search
meaning of life,chat
put on jazz,spotify
louder,spotify
volume up please,spotify
stop playback,spotify
mute the audio,spotify
skip to the next track,spotify
restart this song,spotify
previous,spotify
how do i play the piano,search
how do i bake a chocolate cake,search
tell me about the f1 world champion,search
find five cheap dishes i can prepare,search
what are the current stock prices for Apple,search
wiki cats,search
what is the meaning of life,chat
find me a reason to smile,chat
what time is it for you right now,chat
find a feeling of peace,chat
what are your thoughts on humanity,chat
mute the audio,spotify
turn the volume up please,spotify
stop playback right now,spotify
skip to the next track,spotify
go back to the previous song,spotify
make it louder,spotify
pause the music,spotify
resume playing,spotify
listen to the beatles,spotify
play the soundtrack from gladiator,spotify
put on some jazz,spotify
shuffle my workout playlist,spotify
play top hits in Poland,spotify
decrease the volume,spotify
play white noise for 10 minutes,spotify
restart the current track,spotify
play a sound of rain,spotify
how do i play piano,search
how do i play the guitar,search
find five cheap dishes i can prepare,search
what are the stock prices for Apple right now,search
what movies are playing at the cinema nearby,search
top trending songs on tiktok,search
find me a recipe for pancakes,search
how long does it take to boil an egg,search
how to make pancakes,search
tell me about the f1 world champion,search
wiki cats,search
search for the nearest gas station,search
find me something to listen to on a road trip,search
tell me the history of the roman empire,search
what is the weather like tomorrow,search
how do i fix a leaky faucet,search
look up the cast of inception,search
what is the meaning of life,chat
what time is it for you,chat
find me a reason to smile,chat
find a feeling of peace,chat
play a game of trivia with me,chat
meaning of life,chat
tell me a funny joke,chat
how are you doing today,chat
what do you think about AI,chat
let us just talk for a bit,chat
can you help me feel better,chat
i am feeling really tired today,chat
what are your hobbies,chat
do you have any advice for me,chat
what is your favorite color,chat
just say hello to me,chat
